"Rapsodo MLM2PRO: Palmer Little - 09/05/2024 9:27 PM",,,,,,,,,,,,,,

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"5i","U.S. Kids Golf","Tour Series 5","113.8","125.5","88.6","18.2","-4.8","46.6","-17.9","69.0","1.28","35.9","5468","-9.5"
"5i","U.S. Kids Golf","Tour Series 5","97.1","117.3","88.7","9.9","-4.6","19.8","-13.6","70.1","1.26","20.1","4890","-9.0"
"5i","U.S. Kids Golf","Tour Series 5","76.8","94.1","71.9","16.2","-6.1","22.4","-11.5","69.6","1.03","25.2","4316","-6.5"
"Average",,,"100.7","117.4","86.4","14.2","-3.4","31.4","-9.6","70.0","1.23","27.1","4755","0.5"
"Std. Dev.",,,"19.5","15.5","7.6","3.0","2.6","13.5","8.3","1.1","0.10","7.6","909","14.7"

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"4h","U.S. Kids Golf","Tour Series 5","111.1","134.8","99.5","7.2","2.1","18.9","9.6","73.5","1.35","18.2","4988","13.0"
"4h","U.S. Kids Golf","Tour Series 5","135.7","150.1","101.0","14.1","-0.8","48.8","-2.0","74.6","1.35","34.2","5171","2.4"
"4h","U.S. Kids Golf","Tour Series 5","102.2","119.7","83.8","15.7","-5.7","31.2","-7.5","74.0","1.13","27.2","3688","9.2"
"4h","U.S. Kids Golf","Tour Series 5","134.8","154.0","104.1","11.0","3.3","33.6","19.2","74.6","1.40","25.1","3800","18.5"
"4h","U.S. Kids Golf","Tour Series 5","138.5","155.4","102.0","12.6","1.0","41.4","4.0","74.0","1.38","29.2","3967","4.8"
"4h","U.S. Kids Golf","Tour Series 5","138.6","152.8","101.7","14.1","-0.5","49.2","-0.6","75.1","1.35","33.7","4787","3.4"
"Average",,,"126.8","144.5","98.7","12.5","-0.1","37.2","3.8","74.3","1.33","27.9","4400","8.5"
"Std. Dev.",,,"14.5","13.0","6.8","2.8","2.9","10.6","8.7","0.5","0.09","5.4","598","5.7"

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"3w","U.S. Kids Golf","Tour Series 5","128.6","155.6","106.7","7.1","1.8","21.7","7.6","75.7","1.41","18.2","3788","8.8"
"3w","U.S. Kids Golf","Tour Series 5","145.1","165.7","109.4","9.6","3.1","33.2","14.7","77.4","1.41","23.8","3599","11.4"
"3w","U.S. Kids Golf","Tour Series 5","139.2","165.8","109.4","7.2","3.2","27.1","6.7","77.9","1.40","21.6","4240","1.6"
"3w","U.S. Kids Golf","Tour Series 5","129.4","155.9","109.2","6.9","1.7","20.7","12.3","77.4","1.41","17.2","3618","16.8"
"3w","U.S. Kids Golf","Tour Series 5","123.2","156.5","107.1","5.3","0.2","19.1","-5.4","77.4","1.38","17.9","5241","-5.2"
"3w","U.S. Kids Golf","Tour Series 5","129.6","144.5","97.9","13.9","8.9","43.1","24.4","75.1","1.30","31.7","4683","8.2"
"Average",,,"132.5","157.3","106.6","8.3","3.2","27.5","10.0","76.8","1.39","21.7","4195","6.9"
"Std. Dev.",,,"7.3","7.2","4.0","2.8","2.8","8.4","9.0","1.0","0.04","5.0","604","7.0"

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"d","U.S. Kids Golf","Tour Series 5","143.7","158.0","106.6","13.2","3.9","48.8","-11.5","79.0","1.35","33.2","4899","-19.2"
"d","U.S. Kids Golf","Tour Series 5","133.2","143.9","97.1","22.0","1.4","74.4","-4.1","80.1","1.21","44.8","5260","-5.2"
"d","U.S. Kids Golf","Tour Series 5","154.2","170.4","108.7","13.5","2.8","52.4","-8.0","79.6","1.37","33.0","3953","-12.2"
"d","U.S. Kids Golf","Tour Series 5","155.8","177.4","113.7","9.4","5.6","35.9","7.1","80.1","1.42","24.3","3370","-5.7"
"d","U.S. Kids Golf","Tour Series 5","144.0","160.5","103.0","14.2","7.1","49.6","18.9","78.5","1.31","32.8","4011","3.9"
"d","U.S. Kids Golf","Tour Series 5","147.6","160.9","109.3","13.5","-0.7","54.9","-24.4","80.1","1.36","36.2","5505","-18.9"
"d","U.S. Kids Golf","Tour Series 5","132.2","158.7","107.3","7.7","8.7","23.4","13.2","78.5","1.37","18.7","3490","-6.4"
"d","U.S. Kids Golf","Tour Series 5","121.7","132.7","90.8","23.4","-1.8","67.4","-15.6","75.1","1.21","43.8","4999","-12.2"
"d","U.S. Kids Golf","Tour Series 5","131.9","162.2","110.0","8.8","6.2","22.0","16.6","77.9","1.41","16.2","2359","9.4"
"Average",,,"140.5","158.3","105.2","14.0","3.7","47.7","-0.9","78.8","1.33","31.4","4205","-7.4"
"Std. Dev.",,,"10.8","12.5","6.7","5.2","3.4","16.9","14.6","1.5","0.07","9.5","979","9.0"
